event,author,title,type,repository,organization,state,number,created,closed,url,api_url
scipy-23,g-patlewicz,Typos in the peer review guide,Issue,software-peer-review,pyOpenSci,closed,230,2023-07-15T15:54:54Z,2023-10-26T23:24:36Z,https://github.com/pyOpenSci/software-peer-review/issues/230,https://api.github.com/repos/pyOpenSci/software-peer-review/issues/230
scipy-23,yang-ruoxi,Add a secant about JOSS partnership on the peer review intro guide ,Issue,software-peer-review,pyOpenSci,closed,231,2023-07-15T15:59:31Z,2024-04-10T00:46:04Z,https://github.com/pyOpenSci/software-peer-review/issues/231,https://api.github.com/repos/pyOpenSci/software-peer-review/issues/231
scipy-23,g-patlewicz,Typos and corrections to the Our Goals page in the Software Review Process guide,Issue,software-peer-review,pyOpenSci,closed,234,2023-07-15T16:56:44Z,2023-07-19T18:02:37Z,https://github.com/pyOpenSci/software-peer-review/issues/234,https://api.github.com/repos/pyOpenSci/software-peer-review/issues/234
scipy-23,g-patlewicz,Correct typos and make edits to the Benefits page within the Software review process ,Issue,software-peer-review,pyOpenSci,closed,238,2023-07-15T17:45:55Z,2023-07-19T18:03:57Z,https://github.com/pyOpenSci/software-peer-review/issues/238,https://api.github.com/repos/pyOpenSci/software-peer-review/issues/238
scipy-23,g-patlewicz,Minor edits to the Scope of Packages that pyOpenSci Reviews page,Issue,software-peer-review,pyOpenSci,closed,240,2023-07-15T18:14:44Z,2023-07-19T18:05:13Z,https://github.com/pyOpenSci/software-peer-review/issues/240,https://api.github.com/repos/pyOpenSci/software-peer-review/issues/240
scipy-23,g-patlewicz,Minor edits/typos to the Overview of the Peer Review page,Issue,software-peer-review,pyOpenSci,closed,242,2023-07-15T19:45:03Z,2024-04-03T17:36:29Z,https://github.com/pyOpenSci/software-peer-review/issues/242,https://api.github.com/repos/pyOpenSci/software-peer-review/issues/242
scipy-23,g-patlewicz,Minor typo on Contributing page,Issue,software-peer-review,pyOpenSci,closed,244,2023-07-15T20:04:09Z,2023-07-19T18:05:48Z,https://github.com/pyOpenSci/software-peer-review/issues/244,https://api.github.com/repos/pyOpenSci/software-peer-review/issues/244
scipy-23,g-patlewicz,Minor typo/edits on the Author Guide page,Issue,software-peer-review,pyOpenSci,closed,246,2023-07-15T20:14:39Z,2023-07-19T18:09:02Z,https://github.com/pyOpenSci/software-peer-review/issues/246,https://api.github.com/repos/pyOpenSci/software-peer-review/issues/246
scipy-23,yang-ruoxi,Package guide title squashed with other links ,Issue,python-package-guide,pyOpenSci,closed,90,2023-07-15T16:34:21Z,2024-04-09T21:12:42Z,https://github.com/pyOpenSci/python-package-guide/issues/90,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/90
pycon-23,ForgottenProgramme,"Fix: Remove redundant ""Review guide"" section",PullRequest,software-peer-review,pyOpenSci,closed,210,2023-04-22T21:20:41Z,2023-05-16T17:04:21Z,https://github.com/pyOpenSci/software-peer-review/pull/210,https://api.github.com/repos/pyOpenSci/software-peer-review/pulls/210
pycon-23,ForgottenProgramme,"Add relevant links in the ""this guide"" section",Issue,software-peer-review,pyOpenSci,closed,209,2023-04-22T21:03:08Z,2023-05-16T17:04:22Z,https://github.com/pyOpenSci/software-peer-review/issues/209,https://api.github.com/repos/pyOpenSci/software-peer-review/issues/209
pycon-23,ForgottenProgramme,"✨ Add an ""Our Purpose"" section on the website's landing page",Issue,pyopensci.github.io,pyOpenSci,closed,168,2023-04-22T21:53:00Z,2024-05-20T13:08:48Z,https://github.com/pyOpenSci/pyopensci.github.io/issues/168,https://api.github.com/repos/pyOpenSci/pyopensci.github.io/issues/168
